user_pseudo_id,event_name,event_timestamp,device_category,traffic_source,experiment_variant,session_duration,converted,is_new_user
user_005837,page_view,2026-03-25T20:44:53,tablet,organic,variant_b,443,0,0
user_003726,add_to_cart,2026-03-09T18:03:41,desktop,email,control,496,0,1
user_005637,scroll,2026-03-09T22:06:09,desktop,direct,variant_b,298,0,1
user_007317,scroll,2026-03-03T08:56:47,mobile,email,variant_b,204,0,0
bot_0023,session_start,2026-03-16T00:00:00,desktop,direct,variant_b,0,0,0
user_004211,click,2026-03-10T22:48:06,desktop,email,variant_b,572,0,0
bot_0115,session_start,2026-03-25T00:00:00,desktop,direct,variant_b,0,0,0
user_007085,scroll,2026-03-16T23:03:05,desktop,email,variant_b,53,0,0
user_004580,page_view,2026-03-25T06:45:32,mobile,direct,control,411,0,0
user_002075,session_start,2026-03-02T23:37:27,mobile,social,variant_b,433,1,0
user_002664,scroll,2026-03-14T10:29:10,mobile,social,control,479,0,0
user_006673,session_start,2026-03-07T01:52:26,mobile,cpc,variant_b,522,0,1
user_003484,session_start,2026-03-05T06:44:14,mobile,email,control,73,0,0
bot_0183,session_start,2026-03-24T00:00:00,desktop,direct,control,0,0,0
user_002468,page_view,2026-03-28T17:15:46,desktop,direct,control,372,0,1
user_000114,click,2026-03-05T05:44:37,tablet,email,control,133,0,1
bot_0130,session_start,2026-03-16T00:00:00,desktop,direct,control,0,0,0
user_005701,add_to_cart,2026-03-12T14:20:19,tablet,organic,variant_b,392,0,0
user_001420,session_start,2026-03-16T23:45:51,desktop,organic,control,224,0,0
bot_0050,session_start,2026-03-05T00:00:00,desktop,direct,control,0,0,0
user_005260,scroll,2026-03-02T08:07:54,tablet,organic,control,270,0,0
user_007549,add_to_cart,2026-03-12T11:18:08,desktop,email,variant_b,531,0,1
user_007876,session_start,2026-03-05T23:47:03,mobile,social,control,369,0,1
user_006860,click,2026-03-26T20:19:00,mobile,organic,control,520,0,0
user_005109,page_view,2026-03-01T21:57:28,tablet,cpc,variant_b,129,0,0
user_003410,click,2026-03-21T01:21:44,desktop,organic,control,236,0,0
user_007720,session_start,2026-03-17T11:56:58,mobile,direct,control,596,1,1
bot_0173,session_start,2026-03-10T00:00:00,desktop,direct,control,0,0,0
user_002836,page_view,2026-03-09T08:49:49,desktop,direct,control,548,0,1
user_002920,add_to_cart,2026-03-26T02:15:46,tablet,social,control,498,0,1
user_002214,click,2026-03-19T21:29:38,tablet,cpc,control,112,0,1
user_002399,click,2026-03-20T09:25:41,desktop,direct,variant_b,239,0,0
user_001322,add_to_cart,2026-03-22T19:06:06,desktop,cpc,control,335,0,1
user_000671,click,2026-03-24T04:33:51,mobile,social,variant_b,448,0,1
user_001256,scroll,2026-03-10T20:32:36,desktop,email,control,471,0,0
user_001870,page_view,2026-03-11T16:42:15,desktop,email,control,429,0,0
user_007301,scroll,2026-03-08T03:00:21,tablet,cpc,variant_b,407,0,1
bot_0102,session_start,2026-03-17T00:00:00,desktop,direct,variant_b,0,0,0
user_004722,add_to_cart,2026-03-04T22:09:11,mobile,direct,control,432,0,1
user_000919,add_to_cart,2026-03-11T14:14:32,mobile,direct,variant_b,287,0,0
user_003488,click,2026-03-11T21:14:16,desktop,social,control,573,0,0
user_004420,scroll,2026-03-16T02:28:28,desktop,social,control,566,0,0
user_001872,session_start,2026-03-27T15:18:18,desktop,organic,control,78,0,1
user_007639,page_view,2026-03-27T16:05:02,mobile,email,variant_b,212,0,1
user_000288,page_view,2026-03-25T04:50:54,tablet,social,control,427,0,1
user_000397,add_to_cart,2026-03-29T11:34:55,tablet,organic,variant_b,370,0,0
user_001355,page_view,2026-03-09T04:35:32,mobile,cpc,variant_b,511,0,0
user_001884,add_to_cart,2026-03-09T22:50:47,tablet,email,control,522,0,0
user_000870,add_to_cart,2026-03-26T08:02:05,desktop,social,control,218,0,0
bot_0022,session_start,2026-03-28T00:00:00,desktop,direct,variant_b,0,0,0
bot_0191,session_start,2026-03-11T00:00:00,desktop,direct,variant_b,0,0,0
bot_0153,session_start,2026-03-10T00:00:00,desktop,direct,control,0,0,0
user_006016,page_view,2026-03-03T21:56:11,mobile,direct,control,272,0,1
user_004036,page_view,2026-03-01T20:12:37,tablet,direct,control,345,0,0
user_002827,click,2026-03-04T04:35:35,desktop,social,variant_b,411,0,1
user_001682,click,2026-03-10T23:01:10,mobile,email,control,482,0,0
user_003134,scroll,2026-03-12T06:09:56,mobile,cpc,control,141,0,0
user_006988,add_to_cart,2026-03-30T09:31:35,desktop,organic,control,115,0,1
user_002763,add_to_cart,2026-03-20T03:57:16,mobile,direct,variant_b,593,0,1
user_004566,click,2026-03-15T01:35:32,mobile,email,control,480,0,1
user_001054,session_start,2026-03-27T03:51:51,tablet,organic,control,82,0,0
user_001449,scroll,2026-03-09T09:05:00,tablet,organic,variant_b,167,0,0
user_006626,add_to_cart,2026-03-11T23:57:18,tablet,organic,control,324,0,0
user_000609,click,2026-03-08T15:00:11,tablet,direct,variant_b,434,0,1
user_002495,click,2026-03-25T12:12:48,mobile,organic,variant_b,399,0,0
bot_0068,session_start,2026-03-24T00:00:00,desktop,direct,variant_b,0,0,0
bot_0097,session_start,2026-03-25T00:00:00,desktop,direct,control,0,0,0
user_007558,page_view,2026-03-14T22:29:17,desktop,direct,control,291,0,0
user_003566,add_to_cart,2026-03-24T08:27:35,mobile,organic,control,151,1,0
user_003466,session_start,2026-03-19T02:23:53,desktop,organic,control,67,0,1
user_001706,page_view,2026-03-08T04:26:07,mobile,direct,control,177,0,1
bot_0178,session_start,2026-03-22T00:00:00,desktop,direct,control,0,0,0
user_000063,click,2026-03-17T17:02:08,tablet,social,variant_b,224,0,1
bot_0076,session_start,2026-03-26T00:00:00,desktop,direct,control,0,0,0
user_002842,add_to_cart,2026-03-23T13:57:38,desktop,cpc,control,159,0,0
bot_0022,session_start,2026-03-26T00:00:00,desktop,direct,variant_b,0,0,0
user_004626,page_view,2026-03-27T04:50:22,desktop,organic,control,99,0,0
user_007337,page_view,2026-03-13T00:09:23,mobile,organic,variant_b,560,1,0
user_001388,session_start,2026-03-01T14:47:13,tablet,direct,control,171,0,0
user_006134,click,2026-03-20T09:14:34,desktop,direct,control,32,0,0
user_003208,session_start,2026-03-08T20:24:48,tablet,direct,control,38,0,1
user_006968,click,2026-03-23T03:34:15,mobile,social,control,397,0,0
user_004254,scroll,2026-03-15T20:35:58,tablet,cpc,control,314,0,1
user_004974,click,2026-03-28T07:16:43,desktop,direct,control,197,0,0
user_006904,session_start,2026-03-21T20:48:23,desktop,email,control,308,1,0
user_001240,click,2026-03-05T11:55:34,desktop,organic,control,505,0,0
user_004609,scroll,2026-03-29T16:18:45,mobile,direct,variant_b,119,0,1
user_002402,click,2026-03-14T17:42:07,mobile,cpc,control,207,0,1
user_000321,page_view,2026-03-23T00:22:08,mobile,organic,variant_b,193,0,1
srm_user_0125,session_start,2026-03-05T03:50:55,tablet,social,variant_b,275,0,1
bot_0172,session_start,2026-03-13T00:00:00,desktop,direct,control,0,0,0
bot_0041,session_start,2026-03-19T00:00:00,desktop,direct,control,0,0,0
user_003629,add_to_cart,2026-03-11T01:03:02,mobile,cpc,variant_b,157,0,0
srm_user_0233,session_start,2026-03-05T04:15:38,mobile,direct,variant_b,227,0,1
user_000693,scroll,2026-03-21T16:55:05,tablet,email,variant_b,272,0,0
user_000727,scroll,2026-03-29T11:11:12,desktop,social,variant_b,420,0,0
user_003096,add_to_cart,2026-03-18T17:50:05,desktop,social,control,589,0,0
user_000992,session_start,2026-03-28T11:57:05,mobile,email,control,348,0,0
user_000410,scroll,2026-03-25T06:51:29,desktop,cpc,control,477,0,1
user_001735,add_to_cart,2026-03-09T03:37:42,tablet,cpc,variant_b,553,0,1
bot_0015,session_start,2026-03-03T00:00:00,desktop,direct,variant_b,0,0,0
user_003397,add_to_cart,2026-03-09T14:17:03,desktop,cpc,variant_b,413,0,0
bot_0059,session_start,2026-03-24T00:00:00,desktop,direct,variant_b,0,0,0
user_001306,click,2026-03-30T04:16:01,tablet,social,control,222,0,1
user_005328,add_to_cart,2026-03-08T06:03:37,mobile,cpc,control,88,1,0
user_006902,scroll,2026-03-15T10:04:56,mobile,social,control,345,0,0
user_000170,page_view,2026-03-16T21:43:10,mobile,organic,control,73,0,0
bot_0142,session_start,2026-03-24T00:00:00,desktop,direct,variant_b,0,0,0
user_003350,session_start,2026-03-22T20:56:01,desktop,organic,control,567,0,1
user_005963,click,2026-03-12T05:59:14,tablet,direct,variant_b,43,0,0
user_004543,click,2026-03-27T13:40:53,mobile,cpc,variant_b,409,0,0
user_003127,add_to_cart,2026-03-07T23:26:07,desktop,cpc,variant_b,510,0,0
user_005710,page_view,2026-03-22T21:39:01,mobile,direct,control,548,0,1
user_007637,session_start,2026-03-04T10:13:31,mobile,direct,variant_b,316,0,1
user_000227,click,2026-03-28T10:58:32,mobile,direct,variant_b,360,0,0
bot_0105,session_start,2026-03-12T00:00:00,desktop,direct,control,0,0,0
bot_0043,session_start,2026-03-26T00:00:00,desktop,direct,variant_b,0,0,0
bot_0050,session_start,2026-03-02T00:00:00,desktop,direct,control,0,0,0
user_007676,scroll,2026-03-16T17:59:44,tablet,social,control,568,0,1
user_003471,click,2026-03-18T02:13:47,mobile,email,variant_b,324,0,0
user_005307,click,2026-03-06T00:47:01,desktop,organic,variant_b,420,0,0
bot_0072,session_start,2026-03-22T00:00:00,desktop,direct,variant_b,0,0,0
bot_0048,session_start,2026-03-19T00:00:00,desktop,direct,control,0,0,0
bot_0065,session_start,2026-03-27T00:00:00,desktop,direct,variant_b,0,0,0
user_004963,session_start,2026-03-09T00:40:04,tablet,direct,variant_b,512,0,1
user_007989,click,2026-03-07T11:31:27,tablet,social,variant_b,150,0,1
user_005000,click,2026-03-28T14:47:46,mobile,organic,control,177,0,1
bot_0103,session_start,2026-03-09T00:00:00,desktop,direct,variant_b,0,0,0
user_001413,click,2026-03-03T16:39:05,mobile,organic,variant_b,564,0,0
user_000590,add_to_cart,2026-03-19T12:41:07,tablet,direct,control,201,0,1
user_004679,add_to_cart,2026-03-08T10:33:10,tablet,email,variant_b,584,0,0
bot_0059,session_start,2026-03-26T00:00:00,desktop,direct,control,0,0,0
user_002597,page_view,2026-03-02T00:55:02,desktop,cpc,variant_b,276,0,0
bot_0074,session_start,2026-03-23T00:00:00,desktop,direct,variant_b,0,0,0
user_005779,add_to_cart,2026-03-01T11:15:38,mobile,direct,variant_b,503,0,1
user_002243,click,2026-03-11T19:41:36,mobile,social,variant_b,135,0,1
bot_0116,session_start,2026-03-22T00:00:00,desktop,direct,variant_b,0,0,0
bot_0115,session_start,2026-03-06T00:00:00,desktop,direct,control,0,0,0
user_003898,click,2026-03-21T09:22:48,desktop,email,control,257,0,1
user_007052,add_to_cart,2026-03-28T11:48:36,desktop,cpc,control,155,0,1
user_004557,click,2026-03-08T18:30:15,tablet,organic,variant_b,517,0,1
user_002917,click,2026-03-24T15:41:52,mobile,direct,variant_b,208,0,1
user_004859,session_start,2026-03-30T11:51:22,tablet,email,variant_b,507,0,0
user_004941,session_start,2026-03-19T07:39:07,mobile,direct,variant_b,36,0,0
user_004194,add_to_cart,2026-03-29T13:18:33,desktop,cpc,control,459,0,1
bot_0064,session_start,2026-03-05T00:00:00,desktop,direct,control,0,0,0
bot_0019,session_start,2026-03-05T00:00:00,desktop,direct,variant_b,0,0,0
user_001204,add_to_cart,2026-03-15T20:21:58,mobile,email,control,106,0,0
user_002495,add_to_cart,2026-03-25T12:14:38,mobile,organic,variant_b,399,0,1
user_002443,session_start,2026-03-24T02:03:10,mobile,direct,variant_b,140,0,0
bot_0152,session_start,2026-03-09T00:00:00,desktop,direct,control,0,0,0
user_006966,session_start,2026-03-30T01:45:55,mobile,social,control,448,0,1
user_000503,add_to_cart,2026-03-16T02:48:19,tablet,cpc,variant_b,277,0,0
user_006242,page_view,2026-03-30T10:50:48,tablet,email,control,565,0,1
user_001403,scroll,2026-03-11T23:48:11,mobile,social,variant_b,534,0,1
user_007034,add_to_cart,2026-03-11T19:49:02,mobile,social,control,98,0,0
user_003880,page_view,2026-03-17T17:44:58,desktop,direct,control,509,0,1
user_003242,click,2026-03-23T00:05:34,tablet,direct,control,333,0,0
bot_0164,session_start,2026-03-05T00:00:00,desktop,direct,control,0,0,0
user_005495,session_start,2026-03-28T19:14:08,mobile,email,variant_b,417,0,0
user_005374,click,2026-03-01T01:26:08,mobile,organic,control,127,1,0
user_002707,add_to_cart,2026-03-16T00:28:58,tablet,organic,variant_b,41,1,0
user_002051,scroll,2026-03-14T10:18:55,desktop,email,variant_b,110,0,0
user_005899,scroll,2026-03-29T05:50:23,mobile,social,variant_b,310,0,0
user_001325,scroll,2026-03-25T03:49:34,desktop,cpc,variant_b,196,0,0
user_000220,page_view,2026-03-04T17:09:37,desktop,email,control,527,0,0
user_003892,add_to_cart,2026-03-09T02:32:16,tablet,organic,control,593,0,0
bot_0043,session_start,2026-03-14T00:00:00,desktop,direct,variant_b,0,0,0
user_001865,click,2026-03-27T00:35:03,tablet,email,variant_b,256,0,0
bot_0171,session_start,2026-03-21T00:00:00,desktop,direct,variant_b,0,0,0
user_003858,scroll,2026-03-21T04:29:01,desktop,direct,control,519,0,1
user_000356,page_view,2026-03-03T10:44:03,tablet,social,control,196,0,1
user_005780,session_start,2026-03-07T08:13:58,mobile,cpc,control,227,0,0
user_002811,add_to_cart,2026-03-24T00:56:27,tablet,organic,variant_b,313,0,1
user_005762,click,2026-03-18T23:44:35,mobile,email,control,415,0,1
user_006769,scroll,2026-03-12T16:48:47,mobile,email,variant_b,252,0,0
user_006641,scroll,2026-03-12T04:56:06,mobile,social,variant_b,198,0,0
user_007069,click,2026-03-08T07:41:39,mobile,social,variant_b,513,0,0
user_006987,page_view,2026-03-08T12:52:38,tablet,social,variant_b,489,0,0
user_005485,add_to_cart,2026-03-24T22:35:02,tablet,email,variant_b,501,0,0
user_002811,page_view,2026-03-24T00:55:47,tablet,organic,variant_b,313,0,1
bot_0156,session_start,2026-03-11T00:00:00,desktop,direct,control,0,0,0
user_001295,page_view,2026-03-01T09:27:27,desktop,cpc,variant_b,273,0,1
user_003126,page_view,2026-03-28T19:59:49,mobile,social,control,387,0,0
user_000290,click,2026-03-03T17:55:14,tablet,social,control,217,0,0
user_006402,add_to_cart,2026-03-07T04:25:42,desktop,email,control,168,0,0
user_004075,add_to_cart,2026-03-04T10:17:56,mobile,organic,variant_b,123,0,0
user_001681,scroll,2026-03-27T16:19:45,tablet,email,variant_b,481,0,1
user_000873,scroll,2026-03-05T20:59:20,mobile,social,variant_b,305,0,1
user_001412,page_view,2026-03-27T00:12:41,desktop,organic,control,585,0,1
user_003497,add_to_cart,2026-03-27T22:31:35,tablet,social,variant_b,409,0,1
bot_0060,session_start,2026-03-13T00:00:00,desktop,direct,variant_b,0,0,0
user_006064,scroll,2026-03-18T09:34:11,mobile,email,control,297,0,0
bot_0176,session_start,2026-03-02T00:00:00,desktop,direct,variant_b,0,0,0
user_006437,scroll,2026-03-15T23:41:00,mobile,organic,variant_b,189,0,1
bot_0132,session_start,2026-03-10T00:00:00,desktop,direct,control,0,0,0
user_003150,scroll,2026-03-03T00:17:36,mobile,organic,control,449,0,0
user_002779,scroll,2026-03-21T22:26:47,mobile,organic,variant_b,345,0,1
user_007063,click,2026-03-09T02:17:15,mobile,cpc,variant_b,540,0,0
bot_0128,session_start,2026-03-16T00:00:00,desktop,direct,control,0,0,0
user_004805,add_to_cart,2026-03-16T09:00:45,mobile,organic,variant_b,160,0,1
user_003485,add_to_cart,2026-03-05T13:13:42,desktop,cpc,variant_b,590,0,0
user_002501,scroll,2026-03-18T22:38:04,desktop,cpc,variant_b,297,0,1
bot_0178,session_start,2026-03-22T00:00:00,desktop,direct,variant_b,0,0,0
user_003900,session_start,2026-03-06T14:07:37,mobile,cpc,control,162,0,0
user_005635,session_start,2026-03-07T06:04:55,mobile,social,variant_b,111,0,0
user_007822,session_start,2026-03-05T08:14:50,tablet,social,control,382,0,0
user_004515,session_start,2026-03-06T03:57:52,desktop,email,variant_b,284,0,0
bot_0002,session_start,2026-03-25T00:00:00,desktop,direct,variant_b,0,0,0
user_006354,click,2026-03-27T09:58:53,desktop,organic,control,366,0,0
user_007691,scroll,2026-03-10T15:52:54,desktop,organic,variant_b,173,0,1
user_007816,page_view,2026-03-29T13:22:48,desktop,direct,control,394,0,0
user_002415,click,2026-03-17T15:40:17,tablet,direct,variant_b,581,0,1
user_003853,scroll,2026-03-10T00:09:24,tablet,cpc,variant_b,217,0,1
user_001970,scroll,2026-03-28T12:44:39,desktop,social,control,535,1,0
user_007800,add_to_cart,2026-03-27T17:01:36,desktop,social,control,238,0,1
user_000923,session_start,2026-03-22T02:34:13,mobile,direct,variant_b,213,0,1
user_006486,click,2026-03-22T22:49:51,mobile,direct,control,394,0,1
user_006667,scroll,2026-03-24T03:56:01,desktop,social,variant_b,439,0,1
bot_0078,session_start,2026-03-24T00:00:00,desktop,direct,control,0,0,0
user_006302,add_to_cart,2026-03-11T21:48:44,desktop,social,control,576,0,0
user_002060,page_view,2026-03-08T01:16:57,mobile,email,control,337,0,1
user_000119,page_view,2026-03-04T03:08:53,tablet,organic,variant_b,184,0,0
bot_0131,session_start,2026-03-03T00:00:00,desktop,direct,variant_b,0,0,0
user_000596,scroll,2026-03-13T10:03:50,tablet,email,control,597,0,0
user_001072,click,2026-03-05T20:31:26,desktop,social,control,275,0,0
bot_0061,session_start,2026-03-21T00:00:00,desktop,direct,variant_b,0,0,0
user_005829,add_to_cart,2026-03-05T12:15:14,tablet,organic,variant_b,114,0,0
bot_0071,session_start,2026-03-03T00:00:00,desktop,direct,control,0,0,0
user_007780,click,2026-03-27T20:07:32,tablet,organic,control,580,0,1
user_001330,add_to_cart,2026-03-09T05:40:02,desktop,social,control,245,0,1
user_006858,page_view,2026-03-12T16:30:04,tablet,organic,control,572,0,0
user_002028,page_view,2026-03-23T06:01:36,tablet,social,control,332,0,1
user_007795,page_view,2026-03-30T20:25:21,mobile,email,variant_b,233,0,0
bot_0123,session_start,2026-03-23T00:00:00,desktop,direct,control,0,0,0
user_001742,page_view,2026-03-25T13:36:19,mobile,organic,control,570,0,1
user_004246,click,2026-03-09T20:12:43,mobile,email,control,522,0,0
user_003229,scroll,2026-03-01T23:18:44,desktop,social,variant_b,322,0,0
user_002660,scroll,2026-03-21T06:46:39,desktop,direct,control,106,0,0
user_004824,click,2026-03-27T05:23:51,tablet,organic,control,406,0,1
user_007856,add_to_cart,2026-03-10T12:16:27,mobile,organic,control,116,0,0
user_000255,scroll,2026-03-12T16:02:23,mobile,cpc,variant_b,324,0,1
user_007149,add_to_cart,2026-03-23T17:30:32,desktop,social,variant_b,483,0,1
bot_0087,session_start,2026-03-18T00:00:00,desktop,direct,control,0,0,0
bot_0086,session_start,2026-03-18T00:00:00,desktop,direct,variant_b,0,0,0
user_002729,page_view,2026-03-12T13:26:03,desktop,cpc,variant_b,318,0,1
user_007857,scroll,2026-03-08T21:27:17,mobile,direct,variant_b,124,0,0
bot_0028,session_start,2026-03-16T00:00:00,desktop,direct,variant_b,0,0,0
user_000543,page_view,2026-03-23T23:10:33,desktop,cpc,variant_b,173,0,0
user_006540,page_view,2026-03-27T12:06:32,mobile,email,control,543,0,0
user_001313,add_to_cart,2026-03-11T16:03:24,mobile,organic,variant_b,511,0,0
user_007678,page_view,2026-03-30T16:11:09,tablet,direct,control,350,0,0
user_000484,session_start,2026-03-23T04:48:04,desktop,direct,control,70,0,0
bot_0182,session_start,2026-03-11T00:00:00,desktop,direct,control,0,0,0
user_000519,scroll,2026-03-05T19:40:34,mobile,organic,variant_b,114,0,1
user_001260,scroll,2026-03-28T03:43:48,tablet,direct,control,263,0,0
user_007668,page_view,2026-03-24T08:08:10,tablet,cpc,control,446,0,1
bot_0147,session_start,2026-03-21T00:00:00,desktop,direct,variant_b,0,0,0
srm_user_0198,session_start,2026-03-01T06:16:23,desktop,direct,variant_b,248,0,1
user_003548,scroll,2026-03-07T08:45:57,mobile,cpc,control,454,0,1
user_007080,session_start,2026-03-03T02:40:35,mobile,cpc,control,325,0,0
bot_0057,session_start,2026-03-30T00:00:00,desktop,direct,variant_b,0,0,0
user_001354,add_to_cart,2026-03-25T13:18:18,mobile,direct,control,402,0,1
user_006524,scroll,2026-03-25T07:23:43,desktop,social,control,282,0,0
user_004685,session_start,2026-03-30T02:31:21,tablet,email,variant_b,285,0,1
user_007303,session_start,2026-03-02T02:34:59,desktop,cpc,variant_b,89,0,1
user_000342,click,2026-03-10T00:30:04,desktop,social,control,491,0,1
user_004221,scroll,2026-03-21T19:03:44,tablet,email,variant_b,324,0,0
user_003202,scroll,2026-03-14T16:55:50,tablet,email,control,306,0,0
user_004479,page_view,2026-03-14T20:10:39,mobile,organic,variant_b,337,0,0
user_003319,page_view,2026-03-23T07:16:27,desktop,cpc,variant_b,420,0,1
user_005990,add_to_cart,2026-03-29T22:48:39,desktop,social,control,440,0,0
bot_0004,session_start,2026-03-25T00:00:00,desktop,direct,variant_b,0,0,0
user_002550,session_start,2026-03-25T23:56:20,mobile,social,control,340,0,0
user_007916,scroll,2026-03-23T21:29:19,tablet,social,control,174,0,0
user_002372,page_view,2026-03-22T08:22:42,mobile,social,control,576,0,0
user_007122,scroll,2026-03-10T11:28:01,desktop,organic,control,147,0,0
bot_0037,session_start,2026-03-22T00:00:00,desktop,direct,control,0,0,0
user_004842,scroll,2026-03-07T11:19:44,desktop,social,control,137,0,0
user_006773,add_to_cart,2026-03-23T22:50:42,mobile,organic,variant_b,265,0,0
bot_0062,session_start,2026-03-15T00:00:00,desktop,direct,variant_b,0,0,0
user_001870,add_to_cart,2026-03-11T16:45:33,desktop,email,control,429,0,0
srm_user_0163,session_start,2026-03-01T18:06:13,desktop,organic,variant_b,77,0,1
bot_0028,session_start,2026-03-16T00:00:00,desktop,direct,variant_b,0,0,0
bot_0143,session_start,2026-03-18T00:00:00,desktop,direct,variant_b,0,0,0
user_001823,click,2026-03-27T06:39:44,mobile,cpc,variant_b,534,0,0
user_004565,page_view,2026-03-26T07:51:26,desktop,cpc,variant_b,110,0,0
user_007519,page_view,2026-03-25T12:35:00,mobile,email,variant_b,582,0,0
bot_0027,session_start,2026-03-21T00:00:00,desktop,direct,control,0,0,0
bot_0041,session_start,2026-03-16T00:00:00,desktop,direct,control,0,0,0
bot_0048,session_start,2026-03-19T00:00:00,desktop,direct,variant_b,0,0,0
user_002275,add_to_cart,2026-03-23T02:09:26,tablet,organic,variant_b,511,0,1
user_006058,add_to_cart,2026-03-21T09:03:13,desktop,social,control,139,0,1
user_001141,click,2026-03-21T22:46:02,tablet,direct,variant_b,437,0,0
user_005357,click,2026-03-23T04:58:41,mobile,social,variant_b,598,0,0
user_002682,scroll,2026-03-28T13:09:57,mobile,social,control,285,0,0
user_005939,click,2026-03-29T05:32:55,mobile,direct,variant_b,81,0,0
bot_0119,session_start,2026-03-24T00:00:00,desktop,direct,variant_b,0,0,0
user_001379,session_start,2026-03-21T11:50:26,mobile,direct,variant_b,531,0,0
user_007712,scroll,2026-03-15T08:47:07,mobile,direct,control,291,0,0
user_007703,scroll,2026-03-28T09:16:57,mobile,cpc,variant_b,116,0,1
